Nmsg,Time,Ax,Ay,Az,Gx,Gy,Gz,Gfx,Gfy,Gfz,Roll,Pitch,Heading,Alt,Latitude,Longitude,Arsp,Presion,SBUS_Flags,Flight_Mode,Interruptor_1,Interruptor_2,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16,OUT_1,OUT_2,OUT_3,OUT_4,OUT_5,OUT_6,OUT_7,OUT_8,OUT_9,OUT_10
18308,182867,0.027096927,0.39242518,9.82101,0.0058824024,-0.0043497058,0.0038047133,0.0,0.0,0.0,2.331899,-0.16353863,-55.249496,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18309,182877,0.007951289,0.38177907,9.728633,0.0045936676,-0.0047597014,0.0036963192,0.0,0.0,0.0,2.334309,-0.15901512,-55.2507,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18310,182887,0.007951289,0.38177907,9.728633,0.0045936676,-0.0047597014,0.0036963192,0.0,0.0,0.0,2.334309,-0.15901512,-55.2507,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18311,182897,0.026154816,0.3929662,9.784163,0.008723658,-0.0035047072,0.0035521588,0.0,0.0,0.0,2.3321264,-0.16342434,-55.250294,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18312,182907,0.026154816,0.3929662,9.784163,0.008723658,-0.0035047072,0.0035521588,0.0,0.0,0.0,2.3321264,-0.16342434,-55.250294,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18313,182917,0.029025435,0.40800834,9.758578,0.0046865637,-0.006318897,0.0046134335,0.0,0.0,0.0,2.3333428,-0.1588704,-55.251083,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18314,182927,0.029025435,0.40800834,9.758578,0.0046865637,-0.006318897,0.0046134335,0.0,0.0,0.0,2.3333428,-0.1588704,-55.251083,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18315,182937,0.029253095,0.3795415,9.76751,0.006110658,-0.0027658578,0.0026259394,0.0,0.0,0.0,2.33255,-0.16252425,-55.253273,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18316,182947,0.029253095,0.3795415,9.76751,0.006110658,-0.0027658578,0.0026259394,0.0,0.0,0.0,2.33255,-0.16252425,-55.253273,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18317,182957,0.0088893175,0.38017303,9.759033,0.0042471066,-0.0067517157,0.0043171244,0.0,0.0,0.0,2.332725,-0.1605834,-55.25393,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
